excelId,원료명,복구내역
1,103(백세곡류효소분말),"공급사 통일(""현대""→""현대바이오랜드"")"
7,BCCA혼합제제,"company의 원산지값 폐기(""중국산"", origin에 이미 ""중국산"")"
9,L-라이신,"company의 원산지값 폐기(""중국"", origin에 이미 ""중국"")"
10,L-로이신,"company의 원산지값 폐기(""중국산"", origin에 이미 ""중국산"")"
11,L-메티오닌,"company→origin(""중국"")"
13,L-시스틴,"company→origin(""한국"")"
14,L-아스파르산,"company→origin(""중국산"")"
15,L-트레오닌,"company→origin(""중국"")"
16,L-페닐알라닌,"company→origin(""중국"")"
17,MSM,"company→origin(""미국"")"
18,MSM(옵티),"company→origin(""미국"")"
19,가르시니아캄보지아,"company→origin(""인도"")"
20,가르시니아캄보지아,"company→origin(""인도"")"
24,감초(원물),"company→origin(""국내산"")"
27,강황 커큐민(리포좀),"company→origin(""폴란드"")"
28,강황(하이드로커큐민)(수용성),"company→origin(""인도"")"
29,강황추출분말,"company→origin(""인도"")"
30,강황추출분말,"company→origin(""인도"")"
31,건조효모,"company→origin(""미국"")"
32,건조효모,"company→origin(""에스토니아"")"
34,곤약감자세라마이드,"company의 숫자값 폐기(""1"") / packing→origin(""중국산"")"
39,과라나추출분말,"company→origin(""브라질"")"
40,과일야채혼합분말(유기농)12종,"company→origin(""미국"")"
41,구아검,"company→origin(""인도산"")"
42,구아검가수분해물,"company→origin(""인도산"")"
45,구아바잎추출물,"company→origin(""인도"")"
47,구연산나트륨,"company→origin(""중국산"")"
48,구연산나트륨,"company→origin(""오스트리아"")"
49,구연산칼륨,"company→origin(""한국"")"
51,귀리식이섬유,"company→origin(""독일"")"
52,그린커피빈,"company→origin(""국내산"")"
53,그린커피빈추출분말,"공급사 통일(""앤바이오텍""→""엔바이오텍"")"
55,글루코사민(N-아세틸),"company→origin(""태국산"")"
56,글루타민,"company→origin(""중국"")"
57,글루타치온(캐나다),"company→origin(""캐나다"")"
58,글루타치온(14%)(스위스),"company의 원산지값 폐기(""스위스산"", origin에 이미 ""스위스산"")"
59,글루타치온,"company의 원산지값 폐기(""인도산"", origin에 이미 ""인도산"")"
60,글루타치온(L)효모추출물,"company→origin(""중국산"")"
61,글루타치온건조효모,"company의 원산지값 폐기(""에스토니아"", origin에 이미 ""에스토니아"")"
62,글루타치온건조효모,"company→origin(""중국산"")"
63,글루타치온건조효모,"company→origin(""중국산"")"
64,글루타치온건조효모,"company→비고(규격값 ""리포조말"")"
66,글루타치온건조효모(캐나다),"company→origin(""캐나다"")"
67,글루타치온건조효모(50%)(네덜란드),"company→origin(""네덜란드"")"
68,글루타치온건조효모(85%)(인도산),"company의 원산지값 폐기(""인도산"", origin에 이미 ""인도산"")"
69,글루타치온건조효모(50%인도산),"company→origin(""인도산"")"
70,글루타치온건조효모(리포조말)(미국),"company→origin(""미국"")"
71,글루타치온건조효모(엥겔비타GSH),"company→origin(""에스토니아"")"
72,글리세린지방산에스테르(글리세롤),"company→origin(""국산"")"
73,글리세린지방산에스테르(글리세롤),"company→origin(""말레지아"")"
74,글리세린지방산에스테르(글리세롤),"company→origin(""국산"")"
75,글리세린지방산에스테르(글리세롤),"company→origin(""말레지아"")"
76,글리신,"company→origin(""한국"")"
77,꽃이끼추출물,"company→origin(""중국산"")"
78,나린진(수용성),"company→origin(""중국산"")"
80,낙산,"company→origin(""스페인"")"
81,난소화성 말토덱스트린,"company→origin(""국산"")"
82,녹색입홍합분말(동결건조),"company→origin(""뉴질랜드산"")"
83,녹용농축액,"company→origin(""뉴질랜드산"")"
84,녹용농축액,"company→origin(""러시아산"")"
85,녹용추출분말,"company→origin(""뉴질랜드산"")"
86,녹용추출분말,"company→origin(""뉴질랜드산"")"
87,녹용추출액,"company→origin(""뉴질랜드산"")"
88,녹차추출물분말,"company→origin(""인도"")"
89,녹차추출물분말,"company→origin(""미국"")"
90,녹차추출물분말,"company→origin(""중국"")"
92,녹차추출물분말,"company→origin(""인도"")"
93,녹차추출물분말,"company→origin(""한국"")"
95,당귀농축액,"company→origin(""국산"")"
96,대나무수액추출분말,"company→origin(""인도"")"
97,대두단백추출분말,"company→origin(""중국산"")"
98,대두레시틴분말,"company→origin(""인도"")"
99,대두레시틴액상,"company→origin(""미국"")"
100,대두레시틴추출분말,"company→origin(""인도"")"
101,대두식이섬유,"company→origin(""중국산"")"
102,대두이소플라본(바이오이소플라본)(건식),"company→origin(""미국"")"
103,대두이소플라본(수용성이소플라본)(건식),"company→origin(""미국"")"
107,대두추출분말,"company→origin(""미국"")"
108,대두추출분말,"company→origin(""한국"")"
110,도라지원물,"company→origin(""중국산"")"
111,도라지원물,"company→origin(""국내산"")"
113,동충하초(밀라타리스),"company→origin(""국산"")"
115,라이코펜,"company→origin(""인도산"")"
118,락토바실러스플란타룸배양건조물,"company→packing(""3"")"
119,락토페린농축물,"company→origin(""호주산"")"
120,락토페린농축물,"company→origin(""호주산"")"
121,락토페린농축물,"company→비고(규격값 ""개별인정"")"
127,레몬과즙분말Hcs-5946,"company→origin(""미국산"")"
128,레몬껍질추추물(엽산5%),"company→origin(""인도"")"
129,레몬껍질추출분말,"company→origin(""인도"")"
130,레몬밤추출분말,"company→origin(""중국"")"
132,레스베라톨,"company→origin(""호주"")"
133,로즈힙추출분말,"company→origin(""칠레산"")"
134,로즈힙추출분말,"company→origin(""인도산"")"
137,루바브추출분말,"company→origin(""국산"")"
138,루바브추출분말,"company→origin(""국산"")"
139,루테인,"company→origin(""미국"")"
140,루테인,"company→origin(""인도산"")"
141,리소짐분말,"company→origin(""이태리산"")"
142,리소짐분말,"company→origin(""네델란드"")"
143,리파아제,"company→origin(""덴마크"")"
144,리파아제,"company→origin(""영국"")"
145,링곤베리분말,"company→origin(""에스토니아"")"
146,링콘베리,"company→origin(""에스토니아"")"
148,마더애플사이다비니거,"company→origin(""미국"")"
149,마리골드,"company→origin(""미국"")"
150,마리골드꽃추출물,"company→origin(""인도산"")"
152,마리골드꽃추출분말,"company→origin(""인도산"")"
154,마리골드추출분말,"company→origin(""인도"")"
155,마테추출분말,"company→origin(""브라질"")"
156,마테추출분말,"company→origin(""브라질"")"
157,말토덱스트린,"company→origin(""중국"")"
158,말토덱스트린,"company→origin(""국산"")"
163,맥아추출분말,"company→origin(""한국"")"
164,맥아추출분말,"company→origin(""영국"")"
165,맥주효모,"company→origin(""독일산"")"
166,맥주효모,"company→origin(""독일산"")"
168,모로오렌지,"company→origin(""폴란드"")"
169,모로오렌지,"company→origin(""이탈리아"")"
171,모로오렌지,"company→origin(""폴란드"")"
172,모로오렌지,"company→origin(""이스라엘"")"
173,모로블러드오렌지농축액,"company→origin(""이탈리아"")"
179,미강추출분말,"company→origin(""미국"")"
180,뮤코다당.단백,"company→origin(""중국"")"
181,뮤코다당(철갑상어),"company→origin(""대만산"")"
182,미강추출분말,"company→origin(""미국"")"
185,미역추출분말,"company→origin(""중국"")"
188,밀크세라마이드,"company→origin(""뉴질랜드산"")"
189,밀크씨슬,"company→origin(""미국"")"
190,밀크씨슬,"company→origin(""중국"")"
191,밀크씨슬(유기농),"company→origin(""미국"")"
192,밀크씨슬(유기농),"company→origin(""스페인"")"
193,바나바잎추출물,"company→origin(""인도"")"
196,발레리안,"company→origin(""프랑스"")"
197,발린,"company→origin(""중국"")"
198,발린,"company→origin(""중국"")"
