excelId,원료명,단가원문,공급사,원산지,규격
53,그린커피빈추출분말,(빈값),엔바이오텍,인도,인도산 엔바이오텍
91,녹차추출물분말,(빈값),,,
109,대추(원물),(빈값),,,
167,메론추출물,(빈값),,,
184,미숙여주주정추출분말로서 2.4 g/일,(빈값),,,
247,비트루트농축액분말,(빈값),,,
261,산수유분말,(빈값),,,
336,양배추추출분말,(빈값),,,
400,유산균(비만유산균),(빈값),메디오젠,,2600억/g
687,마테분말,(빈값),,,
729,석류추출분말,(빈값),,튀르키예,해찬솔푸드
749,용안육분말,(빈값),,,
797,엉겅퀴추출분말,(빈값),,,하이베이스
798,삼백초추출물,(빈값),,,하이베이스
799,발아보리추출물,(빈값),,,
800,발아율무추출물,(빈값),,,
810,모로오렌지,모름,,,
813,미강추출물,(빈값),,,1000mg/day
814,표고버섯균사체,(빈값),,,1800mg~3600mg/day
817,유산균특허,(빈값),,,
820,"Lactobacillus subtillus 고초균, 당화균",(빈값),엘본,,없음
825,바나나식초분말,(빈값),,,취급외 품목
828,바나나식초분말,(빈값),,,없음
831,레몬농축액4024,(빈값),해찬솔,,
833,뽕잎추출분말,(빈값),해찬솔,,
836,돼지감자추출분말,(빈값),해찬솔,,
838,여주추출분말,(빈값),해찬솔,,
840,갈근농축분말,(빈값),해찬솔,,
844,맥문동추출분말,(빈값),해찬솔,,
848,차가버섯추출분말,(빈값),해찬솔,,
850,마추출분말(산약),(빈값),해찬솔,,
851,조릿대분말,(빈값),,,미취급/생산불가
854,숙지황추출분말,(빈값),해찬솔,,
858,우슬추출분말,(빈값),,,
861,오미자추출분말,(빈값),해찬솔,,
864,연자육추출분말,(빈값),해찬솔,,
866,누에분말,(빈값),,,미취급/생산불가
870,다시마추출분말,(빈값),해찬솔,,
872,파슬리 추출물,X,해찬솔,,샘플작업 경험없음
875,파슬리 추출물,(빈값),엘본에이치앤비,,등록제품 없음
877,모링가 추출물,(빈값),엘본에이치앤비,,
878,파슬리 추출물,X,새롬비앤에프,,등록제품 없음
881,파슬리 추출물,(빈값),하이베이스,,
882,블루베리 추출물,(빈값),하이베이스,,
883,모링가 추출물,(빈값),하이베이스,,
891,글루텐분해유산균,(빈값),마이크로바이옴,,생균
892,글루텐분해유산균,(빈값),마이크로바이옴,,사균체
895,글루코사민 효소분말,(빈값),엘본에이치앤비,,제품 없음
896,소나무껍질추출물,(빈값),새롬비앤에프,,제품없음
900,베타 시토스테롤(B-sitosterol),(빈값),,,엘본없음
901,아보카도 추출분말,(빈값),,,"해찬솔, 새롬,엘본, 하이베이스 없음"
902,아보카도 소야 추출분말,(빈값),,,
903,망고스틴 추출분말,(빈값),,,엘본 없음
904,매실 추출분말,(빈값),,,
905,서양쐐기풀 추출분말,(빈값),엘본에이치앤비,,해외 직구제품이라 없음
906,유기농여주분말,(빈값),단비농원,,정읍063-532-5687 소매만
907,유기농여주분말,(빈값),에코네이처,,소매 안함
912,망고스틴 추출분말,(빈값),,,
923,남가새추출분말,(빈값),,인도,11월23일 검색에 있음
927,보라지꽃 종자유,(빈값),미래바이오텍,뉴질랜드,생산량이 적어 벌크(원료)로는 판매를 안함/ 소비자들 직판도 물량부족.
963,유기농과일채소혼합분말,(빈값),,,
969,초록입홍합분말,(빈값),,,
976,식물성 알티지 오메가3,(빈값),,,국내 재고 없음/수요는 많으나 원료수급이 않돼 수입 시 리드타임 5개월이상 소요
982,Clostridium butricum (클로스트리디움 부트리쿰),(빈값),,,메디오젠 취급안함 / 위탁배양하려면 단가 비싸고 일이 커짐
983,Sacharomyces Boulardi (사카로마이세스 보울라디),(빈값),`,,균주 제품
999,"백하수오 농축액 10%(고형분 30%이상, 국내산)",(빈값),,,해찬솔/하이베이스/  없음
1000,"참당귀 농축액 9%(고형분 30%이상, 국내산)",(빈값),,,해찬솔/하이베이스/  없음
1002,한속단 추출분말,(빈값),,,해찬솔/하이베이스/  없음
1003,숙지황추출분말,(빈값),해찬솔,국산,샘플로만 제조된상태라          MOQ 60kg
1009,"한속단 농축액 5%(고형분 30%이상, 국내산),",(빈값),,,
1021,마테분말,(빈값),,,"하이베이스,바이오케어 취급X"
1046,차전자분말,(빈값),,,"하이베이스,엘본, 없음/식품불가"
1047,화마인분말,(빈값),,,"하이베이스,엘본, 없음"
1052,아슈와간다 추출분말,(빈값),,,"하이베이스, 바이오케어 취급X"
1059,혼합제제글리세린지방산에스테르(글리세롤),(빈값),,,
1074,비트루트농축액분말,(빈값),,,취급 외
1077,산수유분말 (일반분말),(빈값),,,
1082,다슬기농축액,(빈값),,,하이베이스 X
1083,폴리코사놀 개별인정형 원료,(빈값),,,
1084,사탕수수 왁스알콜,(빈값),,,식품으로 있는지?
1087,스페인감초추출분말 (개별인정형),(빈값),,,뉴트리 / 바이오벤(인정 소유) 뉴트리가 구매-항목 50개 초과 판매 불가
1091,갈근화추출분말,(빈값),,,없음
1093,미역귀추출물분말,(빈값),,,취급 원료사 없음
1094,목이버섯추출분말,(빈값),,,취급 원료사 없음
1106,홍삼성분 포접액,(빈값),,,
1110,글루타치온,(빈값),,미국,Valimenta社
1115,미역추출분말,(빈값),,,
1117,대두레시틴 추출분말,(빈값),,,
1118,대두레시틴 추출분말,(빈값),,,
1119,차가버섯,(빈값),,,
1155,피크노제놀,(빈값),,,개별인정형외 일반분말
1158,홍삼 제품 단가 2000원선,(빈값),,,
1160,유산균 유래 히알루론산,(빈값),,,
1161,쌀겨 유래 세라마이드,(빈값),,,
1184,돌나물 추출분말,(빈값),,,
1185,미나리 추출분말,(빈값),,,
1190,녹두추출분말,(빈값),,,
1197,장미꽃추출분말,(빈값),,,
1200,"석결명(회향, 산미나리)추출분말",(빈값),,,취급원료사 못찾음
1204,효모추출분말,(빈값),,대만,해찬솔/하이베이스없음
1205,초유단백질 CPB (키성장),(빈값),,,
1225,락타아제 1000ALU,(빈값),,,
1226,리파아제 600FIP,(빈값),,,
1227,말타아제 200DP,(빈값),,,
1229,초유단백질 CPB (키성장),(빈값),,,
1230,회향추출분말,(빈값),,,
1231,효모추출분말,(빈값),,,
1238,Lactobacillus salivarius LGG 락토바실러스 살리바리우스,X,에스제이디,덴마크           -크리스찬 한센,매일유업 독점이라 구매 불가
1253,구연산마그네슘,X,x,X,취급 원료사 없음
1254,겐티아나(뿌리)추출물,X,x,X,취급 원료사 없음
1255,베타인 분말,(빈값),엘본에이치앤비,,
1258,L-이소로이신,(빈값),,,
1266,BIFODAN사 유산균원료,(빈값),에스제이디,,"국내 원료로 수입 안됨. 완제품 수입업체 있으나, 자사판매용 임."
1272,벌나무추출분말,(빈값),,,하이베이스. 해찬솔 없음
1284,곽향 농축액,(빈값),,,없음
1294,세라티크 세라마이드,(빈값),,,밀 추출물_ 개별인정형 진행불가
1309,마카다미아 분말,(빈값),하이베이스,,판매X
1314,파이토콜라겐부스터,협의,에스제이디,,당근유래
1318,락토바실러스 람노서스GG,공급불가,바른에프피,미국,"*국내 공급독점 원료사=셀로닉스, 자체 제품명=셀티아이 / 원료사 겸 제조사"
1321,나토키나제,(빈값),,,취급원료사 없음
1324,흑염소추출액,(빈값),,,취급원료사 없음
1326,건조효모 비타민B12,(빈값),,,
1333,피세틴 분말,(빈값),,,취급 원료사 없음
1340,약쑥분말,(빈값),,,"바이오케어, 원물만 있음"
1344,혼합곡물(현미7:19곡3),(빈값),,,
1345,혼합곡물추출분말,(빈값),,,
1348,노니분말,(빈값),,,
1351,아세로라추출분말,(빈값),,,
1352,글루타치온 85%,-,바이오코프사,,글루타치온 85%수입원- 전남 고흥군 소재
1354,뮤코다당(상어연골추출분말),(빈값),엠바이오텍,,"진주현 자창_호주,포획금지로 원료수급 불가"
1358,바코파엑기스,(빈값),,,취급원료사 없음
1359,와일드얌엑기스,(빈값),,,취급원료사 없음
1360,닭가슴살추출물,(빈값),,,취급원료사 없음
1361,피스타치오분말,(빈값),,,취급원료사 없음
1362,녹색잎채소 분말,(빈값),,,취급원료사 없음
1370,산조인(묏대추씨)일반분말,(빈값),바이오케어,,원료수급 원활치않고 재고 없음
1383,밀추출분말,(빈값),,,
1384,(밀추출)식물성 세라마이드,(빈값),,,
1387,보라지꽃 종자유,(빈값),미래바이오텍,뉴질랜드,감마리놀렌산 40%
1389,복합황금추출물,(빈값),,,
1399,세라티크 세라마이드 (밀추출분말),(빈값),채움바이오,,일반식품원료/직수입업체
1407,나토배양물,(빈값),,,
1431,효소 원료,(빈값),,,"알파아밀라제, 프로테아제 역가수치 및 특허보유"
1437,흑무추출물,(빈값),,,취급원료사 없음
1448,새싹인삼,(빈값),,,
1449,토마토(라이코펜),(빈값),,,
1452,표고버섯균사체,(빈값),HK바이오텍,국산,글루베타칸 함유량 139.5mg
1455,표고버섯균사체,(빈값),한국마그나스후디스,,02)514-4657 휴업중
1460,D만노스,(빈값),,,
1461,운데실린산 10-Undecenoic Acid (SF722),(빈값),,,
1467,말태반추출물,(빈값),,,
1472,검베이스 혼합제제,(빈값),,,
1473,카라기난 혼합제제,(빈값),,,
1474,말레인산 마그네슘,(빈값),,,수급불가(독점원료)
1475,구연산 마그네슘,(빈값),,,
1479,난각막추출분말,(빈값),바른에프피,미국,
1480,서리태분말,(빈값),,,회사재고 19Kg
1481,발효병아리콩,(빈값),,,
1496,와사비잎추출물,(빈값),,,
1499,MEDIQUINONE-7 ( gnosis mk7),(빈값),선일에프앤씨,국산,비타민K2 함유량
1506,주석산콜린,(빈값),,,
1523,백복신추출물,(빈값),,,없음
1524,프롤린유산균,(빈값),,,종근당바이오특허
1527,산양유청단백,(빈값),담원인터내셔널,,없음
1533,건조효모 비타민D3,(빈값),에코트레이딩,,
1535,쌀마그네슘,(빈값),,,
1538,장어 혼합추출액,(빈값),,,
1539,락토바실러스 람노서스,(빈값),,,나약사님 관리
1542,비피도박테리움 롱검,(빈값),,,
1543,락토바실러스 플란타럼,(빈값),,,당진 재고 4.8kg
1544,락토바실러스 퍼맨텀,(빈값),,,당진 재고 0.160kg
1550,구연산마그네슘,(빈값),하이베이스,,하이베이스 없음
1552,컴파운드K(compound K ),(빈값),,,흑삼
1553,복합황금추출물,(빈값),,,
1554,프랑스해안송추출물(일반식품),(빈값),,,푸가라는 제조사에서만 수입 중
1556,유청단백질인지질분말,(빈값),,,
1597,밀순분말(일반분말),(빈값),,,
1598,브로콜리 식이섬유,(빈값),,,
1599,브로콜리새싹분말,(빈값),,,
1616,미강추출물,(빈값),에스앤디,,개별인정형 제2018-3호(2018.03.26)  연락처:043-710-8000 권상우전무 : 유통라인을 알아야 판매가능
1636,철갑상어콘드로이친,(빈값),,,
1637,락토페린농축물,(빈값),,,
1662,롱펩콜라겐펩타이드,(빈값),,,
1663,들깨유지 99%,(빈값),,,
1679,양배추농축액 고형분50%,(빈값),해찬솔,,
1680,포스파티딜콜린,(빈값),,미국,
1689,천화분 분말,(빈값),바이오케어,,식품으로 안됨
1693,개구리참외농축액,(빈값),,,없음
1705,레몬오일,(빈값),,,
1706,홍삼추출액(고형분2%),(빈값),,,
1707,홍삼당침액(고형분70%),(빈값),,,
1708,맥문동추출물,(빈값),,,
1709,천문동추출물,(빈값),,,
1710,치자추출물,(빈값),,,
1741,카뮤트곡물발효혼합효소,(빈값),,,
1751,나노커큐민,(빈값),나온스,인도,031-356-7831 / 010-3312-9932 네이버 검색
1761,흑생강추출분말,(빈값),,,없음
1762,락토페린복합농축물,(빈값),,,
1764,쑥부쟁이 추출물,(빈값),,,수배불가
1792,리포조말 밀크시슬,(빈값),하이베이스,,정보 없음
1852,베타알라닌,(빈값),,중국,박균배대표
1948,초임계RTG오일80%,11~13만,세일인터내셔널,캐나다,80%
1960,일반파우치필림비,40원/포,,,30만포기준
1979,가바,(빈값),,,"sakei,brevis균주,김치"
2001,댕댕이나무열매,(빈값),,,
2004,밀추출물(세라티크),노바렉스,,,글루코실세라마이드
