제외된excelId,유지된excelId,원료명,공급사,단가
36,35,공액리놀렌산분말,,65000
74,72,글리세린지방산에스테르(글리세롤),,9000
75,73,글리세린지방산에스테르(글리세롤),,5500
108,107,대두추출분말,,58000
179,178,미강추출분말,,26000
182,178,미강추출분말,,26000
198,197,발린,,27000
205,204,베타알라닌,,16000
250,249,빌베리추출물,,950000
268,267,상어연골분말,,48000
281,280,석류농축액,,8000
284,283,석류추출분말,,15000
365,363,오메가3(정제어유분말),,65000
456,455,청포도농축분말,,15000
518,517,테아닌,,100000
604,9,L-라이신,,7500
605,10,L-로이신,,30000
606,11,L-메티오닌,,69000
607,12,L-시스테인,,25000
608,13,L-시스틴,,43000
611,15,L-트레오닌,,12000
613,16,L-페닐알라닌,,25000
615,56,글루타민,,16000
616,76,글리신,,8000
617,197,발린,,27000
618,204,베타알라닌,,16000
632,525,트립토판,,28000
633,526,트립토판,,260000
634,527,트립토판,,190000
635,547,프롤린,,33000
637,3,20야채혼합농축분말,,17000
638,4,27종과일야채혼합농축분말,,23000
659,657,구기자추출분말,,35000
678,116,라임농축액,,13500
690,163,맥아추출분말,,25000
691,164,맥아추출분말,,23500
707,706,복령분말,,22000
714,260,산사자추출분말,,19000
716,262,산수유추출분말,,25000
717,263,산수유추출분말',,35000
719,718,산약분말,,24000
728,283,석류추출분말,,15000
753,752,울금분말,,9000
1042,853,숙지황분말,바이오케어,32000
1268,802,석류추출물,,200000
1270,804,칸달로프멜론추출물,,800000
1271,805,초록입홍합추출오일복합물,,1000000
1293,806,헛개나무병추출분말,,80000
1313,1312,아미노산펩타이드,에스제이디,75000
1316,1111,락토바실러스 람노서스GG,서호상사,1600000
1381,1364,망고스틴 추출분말,하이베이스,19000
1382,1365,아보카도 추출분말,하이베이스,19000
1395,1016,녹차분말,하이베이스,19000
1410,997,루바브추출분말,해찬솔,24000
1411,998,루바브추출분말,하이베이스,20000
1422,135,로즈힙퓨레,,7500
1425,1424,석류추출분말,해찬솔,15000
1427,1007,구기자추출분말,하이베이스,35000
1444,1443,쌀단백분말,하이베이스,16000
1476,1224,구연산칼슘,하이베이스,17000
1483,80,낙산,,15000
1494,811,그린커피빈,,700000
1551,1224,구연산칼슘,하이베이스,17000
1574,1339,포스파티딜세린,하이베이스,660000
1649,1563,애니말리스비피더스균알(R)-1000,메디오젠,450000
1661,1656,플란타김치유산균-2000,메디오젠,490000
1677,117,락추로스분말50,,15000
1711,1526,분리대두단백(ISP),담원인터내셔널,6300
1742,598,히알루론산,,440000
1783,1078,산수유추출분말,해찬솔,25000
1799,1757,노루궁뎅이버섯추출분말,해찬솔,21000
1804,1801,아로니아농축분말,해찬솔,15500
1819,1801,아로니아농축분말,해찬솔,15500
1820,1802,미역귀후코이단,,600000
1821,1803,다시마후코이단,,500000
1822,1798,블루베리농축액,해찬솔,12500
1823,1757,노루궁뎅이버섯추출분말,해찬솔,21000
1850,197,발린,,27000
1851,56,글루타민,,16000
1853,468,카르니틴,,50000
1874,333,양배추농축분말,,32000
1884,260,산사자추출분말,,19000
1888,765,진피추출분말,,21000
1985,461,초코향분말,,30500
