원료명,건수,최저,최고,배수,상세
컴파운드케이분말,5,183000,11700000,63.9,뉴트라파낙스:183000 | 뉴트라파낙스:326000 | 뉴트라파낙스:1980000 | 뉴트라파낙스:4050000 | 뉴트라파낙스:11700000
건조효모,3,13500,630000,46.7,미지정:630000 | 미지정:13500 | 에스제이디:16700
사균체(포스트바이오틱스),2,60000,2000000,33.3,미지정:60000 | 미지정:2000000
돌외잎주정추출분말,4,15000,400000,26.7,미지정:370000 | 티지바이오텍:370000 | 하이베이스:400000 | 하이베이스:15000
비타민B12,3,5500,138000,25.1,하이베이스:138000 | 엘본에이치앤비:92000 | 하이베이스:5500
핑거루트추출분말(판두라틴),3,13000,320000,24.6,뉴트리:320000 | 하이베이스:30000 | 하이베이스:13000
글루타치온건조효모,4,31000,680000,21.9,미지정:31000 | 미지정:160000 | 미지정:220000 | 미지정:680000
당근추출분말,2,22000,460000,20.9,하이베이스:460000 | 하이베이스:22000
강황추출분말,5,14500,195000,13.4,미지정:28000 | 미지정:190000 | 올담식품:14500 | 미지정:195000 | 미지정:24000
빌베리추출물,2,77000,950000,12.3,미지정:77000 | 미지정:950000
회화나무열매추출분말,5,15000,160000,10.7,미지정:160000 | 미지정:15000 | 미지정:140000 | 하이베이스:15000 | 하이베이스:140000
트립토판,4,28000,260000,9.3,미지정:28000 | 미지정:260000 | 미지정:190000 | 하이베이스:28000
비타민C,6,4300,35000,8.1,미지정:7500 | 서호상사:6500 | 선일에프앤씨:4800 | 하이베이스:7000 | 미지정:35000 | 원아:4300
오메가3(알티지)(동물성),5,21500,160000,7.4,미지정:21500 | 미지정:82000 | 미지정:160000 | 솔루텍스:160000 | 미지정:90000
양파 추출분말,3,19000,140000,7.4,새롬비앤에프:28000 | 하이베이스:19000 | 하이베이스:140000
표고버섯균사체,3,90000,600000,6.7,미지정:90000 | 하이베이스:90000 | 태성:600000
베르가못추출분말,2,18000,120000,6.7,엔바이오텍:120000 | 해찬솔:18000
비오틴/g,2,2000,13000,6.5,미지정:2000 | 미지정:13000
리파아제,2,180000,1100000,6.1,미지정:180000 | 미지정:1100000
병풀추출물,3,18000,100000,5.6,미지정:100000 | 미지정:18000 | 미지정:82000
생강농축액,5,9500,53000,5.6,미지정:53000 | 미지정:9500 | 해찬솔:53000 | 해찬솔:9500 | 새롬비앤에프:42000
모로오렌지,5,15000,75000,5.0,미지정:75000 | 미지정:16000 | 미지정:15000 | 미지정:55000 | 미지정:18000
미역추출분말,4,15000,75000,5.0,미지정:75000 | 미지정:15000 | 해찬솔:15000 | 하이베이스:70000
유산균(비피도박테리움락티스분말),2,470000,2200000,4.7,에스제이디:470000 | 듀퐁산:2200000
프로폴리스,2,90000,420000,4.7,미지정:90000 | 미지정:420000
대두이소플라본,3,105000,460000,4.4,미지정:105000 | 미지정:240000 | 미지정:460000
구아바잎분말,5,15000,65000,4.3,미지정:65000 | 미지정:15000 | 바이오케어:16000 | 엘본에이치앤비:65000 | 바이오케어:15000
동물성 알티지 오메가3,5,21500,90000,4.2,하이베이스:21500 | 하이베이스:82000 | 하이베이스:46000 | 하이베이스:65000 | 태성:90000
녹차추출물분말,5,26000,100000,3.8,미지정:100000 | 미지정:80000 | 미지정:77000 | 미지정:26000 | 미지정:27000
구기자분말,3,17000,65000,3.8,미지정:65000 | 바이오케어:46000 | 바이오케어:17000
헛개나무열매농축분말,2,15000,57000,3.8,미지정:15000 | 미지정:57000
모로오렌지추출분말,4,15000,55000,3.7,새롬비앤에프:15000 | 하이베이스:55000 | 하이베이스:18000 | 미지정:17000
락토페린농축물,3,980000,3500000,3.6,미지정:1300000 | 미지정:980000 | 미지정:3500000
비타민미네랄믹스Fs,2,30000,108000,3.6,미지정:108000 | 미지정:30000
유채씨유추출분말,2,16000,57000,3.6,ambe:57000 | SvAgro:16000
아누카사과추출물,3,53000,180000,3.4,미지정:67000 | 미지정:180000 | 미지정:53000
알로에베라추출분말,2,58000,195000,3.4,미지정:195000 | 미지정:58000
오메가3(식물성)(알티지),3,79000,270000,3.4,미지정:79000 | 솔루텍스:270000 | 솔루텍스:250000
이노시톨,10,22140,75000,3.4,미지정:50000 | 하이베이스:75000 | 태성:50000 | 태성:45000 | 미지정:75000 | 미지정:39000 | 미지정:35000 | 씨에스에프:38500 | arisun:22140 | SvAgro:32400
유산균(락토바실러스람노서스GG,2,480000,1600000,3.3,미지정:1600000 | 미지정:480000
침향,3,42000,140000,3.3,개성상인:85000 | 미지정:140000 | 미지정:42000
락토바실러스 람노서스GG,2,480000,1600000,3.3,서호상사:1600000 | 미지정:480000
수국잎 열수 추출분말,3,16000,52000,3.3,해찬솔:50000 | 하이베이스:52000 | 하이베이스:16000
모로오렌지 추출분말,3,16500,55000,3.3,해찬솔:16500 | 하이베이스:55000 | 하이베이스:18000
푸룬농축분말,2,6000,19000,3.2,미지정:19000 | 하이베이스:6000
마테추출분말,4,16000,50000,3.1,미지정:16000 | 미지정:50000 | 해찬솔:16000 | 하이베이스:50000
어성초추출분말,3,16000,50000,3.1,미지정:50000 | 미지정:16000 | 엘본에이치앤비:50000
브로콜리 농축액,2,13000,40000,3.1,해찬솔:13000 | 하이베이스:40000
로즈힙추출분말,4,20000,60000,3.0,미지정:20000 | 미지정:60000 | 해찬솔:20000 | 하이베이스:60000
보스웰릭산,2,11000,33000,3.0,미지정:11000 | 미지정:33000
흰강낭콩추출분말,4,15000,45000,3.0,미지정:15000 | 미지정:45000 | 해찬솔:15000 | 하이베이스:45000
