코드,원료명,공급사,단가,원산지,포장단위,분류,기능성,규격,비고
SRC21-0001,103(백세곡류효소분말),현대바이오랜드,50000,국산,20,일반식품,N,,"80unit/g / 구분원문: 아밀라아제16,000unit"
SRC21-0002,15곡곡류효소분말,(미지정),60000,,20,일반식품,N,"아밀라아제20만유닛, 프로테아제300유닛",
SRC21-0003,20야채혼합농축분말,(미지정),17000,,20,일반식품,N,하이베이스(HCS-7799),
SRC21-0004,27종과일야채혼합농축분말,(미지정),23000,,20,일반식품,N,하이베이스(HCS-5180),
SRC21-0005,365과체발효효소분말,(미지정),60000,,20,일반식품,N,"아밀라아제50만유닛,프로테아제1000유닛",
SRC21-0006,"BCCA(중국,국내가공)",(미지정),45000,,20,일반식품,N,태성(1:1:1),
SRC21-0007,BCCA혼합제제,(미지정),24000,중국,,일반식품,N,하이베이스류신 2:1:1,
SRC21-0008,HK나토배양물(개별인정형),(미지정),680000,,10,일반식품,N,엘본에이치앤비(133mg/day),
SRC21-0009,L-라이신,(미지정),7500,중국,25,일반식품,N,하아베이스,
SRC21-0010,L-로이신,(미지정),30000,중국,25,일반식품,N,,
SRC21-0011,L-메티오닌,(미지정),69000,중국,20,일반식품,N,,
SRC21-0012,L-시스테인,(미지정),25000,,25,일반식품,N,,
SRC21-0013,L-시스틴,(미지정),43000,국산,,일반식품,N,,
SRC21-0014,L-아스파르산,(미지정),10000,중국,25,일반식품,N,,
SRC21-0015,L-트레오닌,(미지정),12000,중국,25,일반식품,N,,
SRC21-0016,L-페닐알라닌,(미지정),25000,중국,25,일반식품,N,,
SRC21-0017,MSM,(미지정),20000,미국,20,일반식품,N,,
SRC21-0018,MSM(옵티),(미지정),60000,미국,20,일반식품,N,,
SRC21-0019,가르시니아캄보지아,(미지정),42000,인도,25,일반식품,N,70%,
SRC21-0020,가르시니아캄보지아,(미지정),32000,인도,,일반식품,N,하이베이스(수용성)(60%),
SRC21-0021,가바(유산균유래)(발효),(미지정),210000,,5,일반식품,N,,
SRC21-0022,갈락토올리고당,(미지정),27000,,,일반식품,N,,
SRC21-0023,갈랑가추출분말,(미지정),200000,,10,일반식품,N,액상으로진행불가,
SRC21-0024,감초(원물),(미지정),50000,국산,25,일반식품,N,,
SRC21-0025,감초(원물)(우즈베키스탄),(미지정),14000,,35,일반식품,N,,
SRC21-0026,감태추출분말,(미지정),48000,,100,일반식품,N,오더베이스,
SRC21-0027,강황 커큐민(리포좀),(미지정),230000,폴란드,,일반식품,N,18%,
SRC21-0028,강황(하이드로커큐민)(수용성),(미지정),260000,인도,25,일반식품,N,커큐민50%(서호상사),
SRC21-0029,강황추출분말,(미지정),28000,인도,10,일반식품,N,커큐민5%,
SRC21-0030,강황추출분말,(미지정),190000,인도,10,일반식품,N,커큐민95%,
