카탈로그공급사,카탈로그품목,구분,원산지,매칭상태,신뢰도,적재여부,매칭원료,기존공급사,기존단가
BTC,Supro 661 (단백질),고시형,미국산,신규(DB에 없음),,적재,,,
BTC,Supro XT 221D (단백질),고시형,미국산,신규(DB에 없음),,적재,,,
BTC,Supro Nugget 309 (단백질),고시형,미국산,신규(DB에 없음),,적재,,,
BTC,홍삼농축액 8 (홍삼),고시형,BTC(국내산),★공급사 미상 → 후보,높음,적재,홍삼농축액,공급사 미상(source21),170000
BTC,홍삼농축액 8 (홍삼),고시형,BTC(국내산),★공급사 미상 → 후보,높음,적재,홍삼농축액(6년근),공급사 미상(source21),210000
BTC,홍삼농축액 8 (홍삼),고시형,BTC(국내산),타공급사 보유,높음,적재,홍삼농축액(6년근),현대바이오랜드,210000
BTC,홍삼농축액 8 (홍삼),고시형,BTC(국내산),타공급사 보유,높음,적재,홍삼농축액,선일에프앤비,123000
BTC,홍삼농축액 8 (홍삼),고시형,BTC(국내산),타공급사 보유,높음,적재,홍삼농축액,선일에프앤비,145000
BTC,홍삼농축액 10 (홍삼),고시형,BTC(국내산),★공급사 미상 → 후보,높음,적재,홍삼농축액,공급사 미상(source21),170000
BTC,홍삼농축액 10 (홍삼),고시형,BTC(국내산),★공급사 미상 → 후보,높음,적재,홍삼농축액(6년근),공급사 미상(source21),210000
BTC,홍삼농축액 10 (홍삼),고시형,BTC(국내산),타공급사 보유,높음,적재,홍삼농축액(6년근),현대바이오랜드,210000
BTC,홍삼농축액 10 (홍삼),고시형,BTC(국내산),타공급사 보유,높음,적재,홍삼농축액,선일에프앤비,123000
BTC,홍삼농축액 10 (홍삼),고시형,BTC(국내산),타공급사 보유,높음,적재,홍삼농축액,선일에프앤비,145000
BTC,홍삼농축액 12 (홍삼),고시형,BTC(국내산),★공급사 미상 → 후보,높음,적재,홍삼농축액,공급사 미상(source21),170000
BTC,홍삼농축액 12 (홍삼),고시형,BTC(국내산),★공급사 미상 → 후보,높음,적재,홍삼농축액(6년근),공급사 미상(source21),210000
BTC,홍삼농축액 12 (홍삼),고시형,BTC(국내산),타공급사 보유,높음,적재,홍삼농축액(6년근),현대바이오랜드,210000
BTC,홍삼농축액 12 (홍삼),고시형,BTC(국내산),타공급사 보유,높음,적재,홍삼농축액,선일에프앤비,123000
BTC,홍삼농축액 12 (홍삼),고시형,BTC(국내산),타공급사 보유,높음,적재,홍삼농축액,선일에프앤비,145000
BTC,홍삼농축액 C (홍삼),고시형,BTC(국내산),★공급사 미상 → 후보,높음,적재,홍삼농축액,공급사 미상(source21),170000
BTC,홍삼농축액 C (홍삼),고시형,BTC(국내산),★공급사 미상 → 후보,높음,적재,홍삼농축액(6년근),공급사 미상(source21),210000
BTC,홍삼농축액 C (홍삼),고시형,BTC(국내산),타공급사 보유,높음,적재,홍삼농축액(6년근),현대바이오랜드,210000
BTC,홍삼농축액 C (홍삼),고시형,BTC(국내산),타공급사 보유,높음,적재,홍삼농축액,선일에프앤비,123000
BTC,홍삼농축액 C (홍삼),고시형,BTC(국내산),타공급사 보유,높음,적재,홍삼농축액,선일에프앤비,145000
BTC,홍삼농축액분말 13 (홍삼),고시형,BTC(국내산),★공급사 미상 → 후보,높음,적재,홍삼농축액분말(4년근),공급사 미상(source21),310000
BTC,홍삼농축액분말 13 (홍삼),고시형,BTC(국내산),★공급사 미상 → 후보,높음,적재,홍삼농축액분말(6년근),공급사 미상(source21),330000
BTC,홍삼농축액분말 13 (홍삼),고시형,BTC(국내산),타공급사 보유,높음,적재,홍삼농축액분말(4년근),현대바이오랜드,310000
BTC,홍삼농축액분말 13 (홍삼),고시형,BTC(국내산),타공급사 보유,높음,적재,홍삼농축액분말(6년근),현대바이오랜드,330000
BTC,홍삼농축액분말 13 (홍삼),고시형,BTC(국내산),★공급사 미상 → 후보,보통,적재,홍삼농축액,공급사 미상(source21),170000
BTC,홍삼농축액분말 13 (홍삼),고시형,BTC(국내산),★공급사 미상 → 후보,보통,적재,홍삼농축액(6년근),공급사 미상(source21),210000
BTC,홍삼농축액분말 13 (홍삼),고시형,BTC(국내산),타공급사 보유,보통,적재,홍삼농축액(6년근),현대바이오랜드,210000
BTC,홍삼농축액분말 13 (홍삼),고시형,BTC(국내산),타공급사 보유,보통,적재,홍삼농축액,선일에프앤비,123000
BTC,홍삼농축액분말 13 (홍삼),고시형,BTC(국내산),타공급사 보유,보통,적재,홍삼농축액,선일에프앤비,145000
BTC,홍삼농축액분말 16 (홍삼),고시형,BTC(국내산),★공급사 미상 → 후보,높음,적재,홍삼농축액분말(4년근),공급사 미상(source21),310000
BTC,홍삼농축액분말 16 (홍삼),고시형,BTC(국내산),★공급사 미상 → 후보,높음,적재,홍삼농축액분말(6년근),공급사 미상(source21),330000
BTC,홍삼농축액분말 16 (홍삼),고시형,BTC(국내산),타공급사 보유,높음,적재,홍삼농축액분말(4년근),현대바이오랜드,310000
BTC,홍삼농축액분말 16 (홍삼),고시형,BTC(국내산),타공급사 보유,높음,적재,홍삼농축액분말(6년근),현대바이오랜드,330000
BTC,홍삼농축액분말 16 (홍삼),고시형,BTC(국내산),★공급사 미상 → 후보,보통,적재,홍삼농축액,공급사 미상(source21),170000
BTC,홍삼농축액분말 16 (홍삼),고시형,BTC(국내산),★공급사 미상 → 후보,보통,적재,홍삼농축액(6년근),공급사 미상(source21),210000
BTC,홍삼농축액분말 16 (홍삼),고시형,BTC(국내산),타공급사 보유,보통,적재,홍삼농축액(6년근),현대바이오랜드,210000
BTC,홍삼농축액분말 16 (홍삼),고시형,BTC(국내산),타공급사 보유,보통,적재,홍삼농축액,선일에프앤비,123000
BTC,홍삼농축액분말 16 (홍삼),고시형,BTC(국내산),타공급사 보유,보통,적재,홍삼농축액,선일에프앤비,145000
BTC,홍삼농축액분말 20 (홍삼),고시형,BTC(국내산),★공급사 미상 → 후보,높음,적재,홍삼농축액분말(4년근),공급사 미상(source21),310000
BTC,홍삼농축액분말 20 (홍삼),고시형,BTC(국내산),★공급사 미상 → 후보,높음,적재,홍삼농축액분말(6년근),공급사 미상(source21),330000
BTC,홍삼농축액분말 20 (홍삼),고시형,BTC(국내산),타공급사 보유,높음,적재,홍삼농축액분말(4년근),현대바이오랜드,310000
BTC,홍삼농축액분말 20 (홍삼),고시형,BTC(국내산),타공급사 보유,높음,적재,홍삼농축액분말(6년근),현대바이오랜드,330000
BTC,홍삼농축액분말 20 (홍삼),고시형,BTC(국내산),★공급사 미상 → 후보,보통,적재,홍삼농축액,공급사 미상(source21),170000
BTC,홍삼농축액분말 20 (홍삼),고시형,BTC(국내산),★공급사 미상 → 후보,보통,적재,홍삼농축액(6년근),공급사 미상(source21),210000
BTC,홍삼농축액분말 20 (홍삼),고시형,BTC(국내산),타공급사 보유,보통,적재,홍삼농축액(6년근),현대바이오랜드,210000
BTC,홍삼농축액분말 20 (홍삼),고시형,BTC(국내산),타공급사 보유,보통,적재,홍삼농축액,선일에프앤비,123000
BTC,홍삼농축액분말 20 (홍삼),고시형,BTC(국내산),타공급사 보유,보통,적재,홍삼농축액,선일에프앤비,145000
BTC,발효홍삼농축액B (발효 홍삼),고시형,BTC(국내산),★공급사 미상 → 후보,높음,적재,발효홍삼농축액(6년근),공급사 미상(source21),250000
BTC,발효홍삼농축액B (발효 홍삼),고시형,BTC(국내산),타공급사 보유,높음,적재,발효홍삼농축액(6년근),현대바이오랜드,250000
BTC,발효홍삼농축액B (발효 홍삼),고시형,BTC(국내산),★공급사 미상 → 후보,보통,적재,홍삼농축액,공급사 미상(source21),170000
BTC,발효홍삼농축액B (발효 홍삼),고시형,BTC(국내산),★공급사 미상 → 후보,보통,적재,홍삼농축액(6년근),공급사 미상(source21),210000
BTC,발효홍삼농축액B (발효 홍삼),고시형,BTC(국내산),타공급사 보유,보통,적재,홍삼농축액(6년근),현대바이오랜드,210000
BTC,발효홍삼농축액B (발효 홍삼),고시형,BTC(국내산),타공급사 보유,보통,적재,홍삼농축액,선일에프앤비,123000
BTC,발효홍삼농축액B (발효 홍삼),고시형,BTC(국내산),타공급사 보유,보통,적재,홍삼농축액,선일에프앤비,145000
BTC,발효홍삼농축액분말 (발효 홍삼),고시형,BTC(국내산),★공급사 미상 → 후보,확실,적재,발효홍삼농축액분말(6년근),공급사 미상(source21),260000
BTC,발효홍삼농축액분말 (발효 홍삼),고시형,BTC(국내산),타공급사 보유,확실,적재,발효홍삼농축액분말(6년근),현대바이오랜드,260000
BTC,발효홍삼농축액분말 (발효 홍삼),고시형,BTC(국내산),★공급사 미상 → 후보,높음,적재,발효홍삼농축액(6년근),공급사 미상(source21),250000
BTC,발효홍삼농축액분말 (발효 홍삼),고시형,BTC(국내산),★공급사 미상 → 후보,높음,적재,홍삼농축액분말(4년근),공급사 미상(source21),310000
BTC,발효홍삼농축액분말 (발효 홍삼),고시형,BTC(국내산),★공급사 미상 → 후보,높음,적재,홍삼농축액분말(6년근),공급사 미상(source21),330000
BTC,발효홍삼농축액분말 (발효 홍삼),고시형,BTC(국내산),타공급사 보유,높음,적재,홍삼농축액분말(4년근),현대바이오랜드,310000
BTC,발효홍삼농축액분말 (발효 홍삼),고시형,BTC(국내산),타공급사 보유,높음,적재,홍삼농축액분말(6년근),현대바이오랜드,330000
BTC,발효홍삼농축액분말 (발효 홍삼),고시형,BTC(국내산),타공급사 보유,높음,적재,발효홍삼농축액(6년근),현대바이오랜드,250000
BTC,발효홍삼농축액분말 (발효 홍삼),고시형,BTC(국내산),★공급사 미상 → 후보,보통,적재,홍삼농축액,공급사 미상(source21),170000
BTC,발효홍삼농축액분말 (발효 홍삼),고시형,BTC(국내산),★공급사 미상 → 후보,보통,적재,홍삼농축액(6년근),공급사 미상(source21),210000
BTC,발효홍삼농축액분말 (발효 홍삼),고시형,BTC(국내산),타공급사 보유,보통,적재,홍삼농축액(6년근),현대바이오랜드,210000
BTC,발효홍삼농축액분말 (발효 홍삼),고시형,BTC(국내산),타공급사 보유,보통,적재,홍삼농축액,선일에프앤비,123000
BTC,발효홍삼농축액분말 (발효 홍삼),고시형,BTC(국내산),타공급사 보유,보통,적재,홍삼농축액,선일에프앤비,145000
BTC,흑삼농축액 7 (흑삼),고시형,BTC(국내산),신규(DB에 없음),,적재,,,
BTC,흑삼농축액 15 (흑삼),고시형,BTC(국내산),신규(DB에 없음),,적재,,,
BTC,Soy SBT (대두이소플라본),고시형,국내산,신규(DB에 없음),,적재,,,
BTC,바나바추출분말 1% (바나바잎추출물),고시형,인도산,신규(DB에 없음),,적재,,,
BTC,은행잎추출분말 (은행잎추출물),고시형,중국산,★공급사 미상 → 후보,확실,적재,은행잎추출분말 24%,공급사 미상(source21),185000
BTC,밀크씨슬 (밀크씨슬 추출물),고시형,폴란드산,★공급사 미상 → 후보,확실,적재,밀크씨슬,공급사 미상(source21),98000
BTC,밀크씨슬 (밀크씨슬 추출물),고시형,폴란드산,★공급사 미상 → 후보,확실,적재,밀크씨슬,공급사 미상(source21),72000
BTC,밀크씨슬 (밀크씨슬 추출물),고시형,폴란드산,★공급사 미상 → 후보,확실,적재,밀크씨슬(유기농),공급사 미상(source21),390000
BTC,밀크씨슬 (밀크씨슬 추출물),고시형,폴란드산,★공급사 미상 → 후보,확실,적재,밀크씨슬(유기농),공급사 미상(source21),450000
BTC,밀크씨슬 (밀크씨슬 추출물),고시형,폴란드산,타공급사 보유,확실,적재,밀크씨슬(유기농밀크씨슬분말),태성,22000
BTC,밀크씨슬 (밀크씨슬 추출물),고시형,폴란드산,타공급사 보유,보통,적재,밀크씨슬추출물,제일,100000
BTC,밀크씨슬 (밀크씨슬 추출물),고시형,폴란드산,타공급사 보유,보통,적재,밀크씨슬추출물,제일,95000
BTC,달맞이꽃종자유 (달맞이꽃종자추출물),고시형,네덜란드산,타공급사 보유,확실,적재,달맞이꽃 종자유,하이베이스,50000
BTC,달맞이꽃종자유 (달맞이꽃종자추출물),고시형,네덜란드산,타공급사 보유,확실,적재,(유기농) 달맞이꽃종자유,제일,105000
BTC,EE400300 (오메가3),고시형,Golden Omega(칠레산),신규(DB에 없음),,적재,,,
BTC,TG360240 (오메가3),고시형,Golden Omega(칠레산),신규(DB에 없음),,적재,,,
BTC,TG400300 (오메가3),고시형,Golden Omega(칠레산),신규(DB에 없음),,적재,,,
BTC,정제어유분말 (오메가3),고시형,대만산,신규(DB에 없음),,적재,,,
BTC,식물스테롤에스테르 (식물스테롤),고시형,스페인산,★공급사 미상 → 후보,보통,적재,식물스테롤,공급사 미상(source21),65000
BTC,식물스테롤에스테르 (식물스테롤),고시형,스페인산,★공급사 미상 → 후보,보통,적재,식물스테롤,공급사 미상(source21),75000
BTC,식물스테롤에스테르 (식물스테롤),고시형,스페인산,타공급사 보유,보통,적재,식물스테롤,하이베이스,65000
BTC,식물스테롤에스테르 (식물스테롤),고시형,스페인산,타공급사 보유,보통,적재,식물스테롤,하이베이스,75000
BTC,식물스테롤 분말 (식물스테롤),고시형,인도산,★공급사 미상 → 후보,높음,적재,식물스테롤,공급사 미상(source21),65000
BTC,식물스테롤 분말 (식물스테롤),고시형,인도산,★공급사 미상 → 후보,높음,적재,식물스테롤,공급사 미상(source21),75000
BTC,식물스테롤 분말 (식물스테롤),고시형,인도산,타공급사 보유,높음,적재,식물스테롤,하이베이스,65000
