미상원료,기존단가,기존원산지,추정공급사,신뢰도,단서종류,근거품목,근거출처,카탈로그원산지
발효홍삼농축액분말(6년근),260000,,BTC,확실,거래처 카탈로그,발효홍삼농축액분말 (발효 홍삼),(BTC) 취급원료 리스트.xlsx,BTC(국내산)
은행잎추출분말 24%,185000,미국,BTC,확실,거래처 카탈로그,은행잎추출분말 (은행잎추출물),(BTC) 취급원료 리스트.xlsx,중국산
밀크씨슬,98000,미국,BTC,확실,거래처 카탈로그,밀크씨슬 (밀크씨슬 추출물),(BTC) 취급원료 리스트.xlsx,폴란드산
밀크씨슬,72000,중국,BTC,확실,거래처 카탈로그,밀크씨슬 (밀크씨슬 추출물),(BTC) 취급원료 리스트.xlsx,폴란드산
밀크씨슬(유기농),390000,미국,BTC,확실,거래처 카탈로그,밀크씨슬 (밀크씨슬 추출물),(BTC) 취급원료 리스트.xlsx,폴란드산
밀크씨슬(유기농),450000,스페인,BTC,확실,거래처 카탈로그,밀크씨슬 (밀크씨슬 추출물),(BTC) 취급원료 리스트.xlsx,폴란드산
루테인,180000,미국,BTC,확실,거래처 카탈로그,루테인 (마리골드꽃 추출물),(BTC) 취급원료 리스트.xlsx,인도산
루테인,150000,인도,BTC,확실,거래처 카탈로그,루테인 (마리골드꽃 추출물),(BTC) 취급원료 리스트.xlsx,인도산
키토산,45000,중국,BTC,확실,거래처 카탈로그,키토산,(BTC) 취급원료 리스트.xlsx,베트남산
글루타치온(캐나다),450000,캐나다,BTC,확실,거래처 카탈로그,글루타치온 50%,(BTC) 취급원료 리스트.xlsx,중국산
글루타치온(14%)(스위스),180000,스위스,BTC,확실,거래처 카탈로그,글루타치온 50%,(BTC) 취급원료 리스트.xlsx,중국산
글루타치온,350000,인도,BTC,확실,거래처 카탈로그,글루타치온 50%,(BTC) 취급원료 리스트.xlsx,중국산
글루타치온50%,380000,캐나다,BTC,확실,거래처 카탈로그,글루타치온 50%,(BTC) 취급원료 리스트.xlsx,중국산
글루타치온50%,250000,인도,BTC,확실,거래처 카탈로그,글루타치온 50%,(BTC) 취급원료 리스트.xlsx,중국산
녹용추출분말,140000,뉴질랜드,바이오케어,확실,거래처 카탈로그,녹용추출분말(100%),(주)바이오케어 식품원료리스트 .pdf,뉴질랜드
녹용추출분말,65000,뉴질랜드,바이오케어,확실,거래처 카탈로그,녹용추출분말(100%),(주)바이오케어 식품원료리스트 .pdf,뉴질랜드
녹용농축액,145000,뉴질랜드,바이오케어,확실,거래처 카탈로그,녹용농축액,(주)바이오케어 식품원료리스트 .pdf,뉴질랜드
녹용농축액,155000,러시아,바이오케어,확실,거래처 카탈로그,녹용농축액,(주)바이오케어 식품원료리스트 .pdf,뉴질랜드
