신규공급사,신규품목,신규단가,신규원산지,출처,기존원료,기존공급사,기존단가,기존원산지,괴리율
제일,비오틴,580000,중국,제일 Product List/Price(2401),비오틴/g,공급사 미상(source21),2000,중국,28900.0%
제일,비오틴,580000,중국,제일 Product List/Price(2401),비오틴/g,공급사 미상(source21),13000,프랑스,4361.5%
제일,비오틴,580000,중국,제일 Product List/Price(2401),비오틴,서호상사,13000,프랑스,4361.5%
제일,(유기농) 프로폴리스,650000,불가리아,제일 Product List/Price(2401),프로폴리스,공급사 미상(source21),90000,호주,622.2%
제일,(유기농) 보라지유,110000,독일,제일 Product List/Price(2401),보라지유,공급사 미상(source21),47000,네덜란드,134.0%
제일,(유기농) 달맞이꽃종자유,105000,독일,제일 Product List/Price(2401),달맞이꽃 종자유,하이베이스,50000,뉴질랜드,110.0%
씨에스에프,비타민C,4600,중국,씨에스에프 견적서(2023-11-02),비타민C(리포조말),공급사 미상(source21),170000,미국,-97.3%
씨에스에프,비타민C,4600,중국,씨에스에프 견적서(2023-11-02),비타민C(리포조말),공급사 미상(source21),150000,,-96.9%
씨에스에프,비타민C,4600,중국,씨에스에프 견적서(2023-11-02),비타민C(중성),공급사 미상(source21),70000,미국,-93.4%
씨에스에프,L-로이신,31000,중국,씨에스에프 견적서(2023-11-02),L-로이신,arisun,16048,중국,93.2%
씨에스에프,비타민C,4600,중국,씨에스에프 견적서(2023-11-02),비타민C,공급사 미상(source21),35000,,-86.9%
씨에스에프,L-이소로이신,39000,중국,씨에스에프 견적서(2023-11-02),L-이소로이신,공급사 미상(source21),21000,중국,85.7%
씨에스에프,L-로이신,31000,중국,씨에스에프 견적서(2023-11-02),L-로이신,선일에프앤씨,17000,중국,82.4%
제일,글루콘산아연,20000,인도,제일 Product List/Price(2401),글루콘산아연,태성,11000,중국,81.8%
씨에스에프,프락토올리고당/액상,1750,,씨에스에프 견적서(2023-11-02),프락토올리고당,공급사 미상(source21),8000,중국,-78.1%
씨에스에프,상어연골분말,33000,중국,씨에스에프 견적서(2023-11-02),상어연골분말,공급사 미상(source21),95000,미국,-65.3%
씨에스에프,상어연골분말,33000,중국,씨에스에프 견적서(2023-11-02),상어연골분말,하이베이스,95000,미국,-65.3%
